user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
394,SWE,0,178,63,35.0,19,2000-07-30 22:00:00,2012-05-12 22:00:00,123,59,49,66,53.96747967479675,2000,2012
395,GBR,0,170,68,39.0,19,1998-12-17 23:00:00,2001-09-27 22:00:00,7,49,57,62,52.857142857142854,1998,2001
396,SWE,0,174,63,43.0,21,2002-07-12 22:00:00,2002-09-13 22:00:00,21,49,53,53,48.0,2002,2002
399,SWE,0,178,63,38.0,22,1997-06-30 22:00:00,2005-07-20 22:00:00,34,36,44,49,39.6764705882353,1997,2005
403,POL,0,182,78,44.0,27,2000-06-02 22:00:00,2015-09-23 22:00:00,258,59,55,66,53.992248062015506,2000,2015
405,SWE,0,182,73,35.0,17,2000-07-31 22:00:00,2010-05-21 22:00:00,44,62,58,62,53.63636363636363,2000,2010
408,PRT,0,172,63,32.0,16,2001-06-03 22:00:00,2017-08-16 22:00:00,399,49,64,71,58.39598997493734,2001,2017
423,FRA,0,180,73,49.0,28,2000-11-02 23:00:00,2002-03-01 23:00:00,11,49,49,53,49.0,2000,2002
439,USA,0,181,78,44.0,27,2000-06-30 22:00:00,2001-09-15 22:00:00,18,62,57,62,55.888888888888886,2000,2001
441,ITA,0,170,68,44.0,25,2001-01-15 23:00:00,2017-04-13 22:00:00,301,70,64,72,53.60797342192691,2001,2017
442,SWE,0,175,68,32.0,18,2000-05-09 22:00:00,2010-04-15 22:00:00,93,29,59,65,54.58064516129032,2000,2010
443,ZAF,0,174,63,39.0,20,2001-04-10 22:00:00,2010-02-06 23:00:00,26,55,49,59,50.46153846153846,2001,2010
444,USA,0,166,73,36.0,22,2001-10-31 23:00:00,2008-11-09 23:00:00,14,53,44,57,46.214285714285715,2001,2008
446,USA,0,185,78,44.0,24,2000-10-14 22:00:00,2008-07-17 22:00:00,25,64,55,66,58.92,2000,2008
452,USA,0,178,68,31.0,21,2000-08-07 22:00:00,2012-01-12 23:00:00,198,59,64,77,63.56565656565657,2000,2012
459,NLD,0,180,73,44.0,21,1999-08-31 22:00:00,2011-07-24 22:00:00,176,49,49,62,51.63068181818182,1999,2011
462,FRA,0,176,68,49.0,22,2000-02-01 23:00:00,2001-10-26 22:00:00,19,49,55,57,53.94736842105263,2000,2001
473,CAN,0,190,73,37.0,21,2000-09-16 22:00:00,2015-04-30 22:00:00,68,64,59,70,62.529411764705884,2000,2015
476,USA,0,173,68,37.0,21,2000-05-18 22:00:00,2016-06-15 22:00:00,203,70,71,75,65.10837438423646,2000,2016
478,FRA,0,180,73,46.0,19,2001-03-24 23:00:00,2002-02-07 23:00:00,7,42,36,42,40.0,2001,2002
479,BEL,0,173,68,46.0,26,1999-06-29 22:00:00,2004-05-15 22:00:00,46,53,49,53,43.67391304347826,1999,2004
483,BEL,0,178,63,43.0,21,2000-04-30 22:00:00,2001-08-10 22:00:00,17,49,40,55,46.11764705882353,2000,2001
486,ITA,0,170,58,30.0,21,2007-02-06 23:00:00,2015-12-29 23:00:00,137,71,72,76,66.77372262773723,2007,2015
488,POL,0,170,68,44.0,26,2000-04-19 22:00:00,2014-08-01 22:00:00,67,40,40,53,39.223880597014926,2000,2014
489,POL,0,171,63,42.0,25,2000-04-02 22:00:00,2017-09-04 22:00:00,187,55,66,66,55.663101604278076,2000,2017
490,SWE,0,173,68,43.0,18,2000-10-31 23:00:00,2000-10-31 23:00:00,4,49,46,49,43.75,2000,2000
493,NLD,0,180,78,46.0,25,2000-09-12 22:00:00,2015-12-29 23:00:00,1711,62,31,64,43.056107539450615,2000,2015
515,USA,0,196,73,34.0,17,2003-03-13 23:00:00,2003-11-21 23:00:00,3,36,36,38,36.666666666666664,2003,2003
523,SWE,0,179,68,45.0,20,2002-07-26 22:00:00,2007-08-06 22:00:00,7,36,46,49,45.285714285714285,2002,2007
526,FRA,0,176,63,42.0,22,2000-12-14 23:00:00,2010-12-24 23:00:00,140,64,59,66,59.56428571428572,2000,2010
531,FRA,0,180,68,33.0,17,2000-10-29 23:00:00,2005-07-20 22:00:00,9,31,36,46,40.666666666666664,2000,2005
532,BEL,0,186,78,44.0,26,2000-07-14 22:00:00,2004-06-25 22:00:00,113,59,55,62,52.06194690265487,2000,2004
533,HRV,0,181,73,59.0,17,2001-03-16 23:00:00,2008-06-21 22:00:00,143,33,36,46,35.06993006993007,2001,2008
536,HRV,0,173,63,42.0,24,2001-05-02 22:00:00,2002-03-23 23:00:00,13,68,66,68,64.38461538461539,2001,2002
554,NOR,0,190,68,33.0,17,2001-05-18 22:00:00,2002-05-09 22:00:00,9,46,44,46,39.888888888888886,2001,2002
557,SWE,0,176,68,38.0,17,2003-08-21 22:00:00,2003-08-21 22:00:00,1,42,42,42,42.0,2003,2003
558,SWE,0,170,68,46.0,17,2001-08-18 22:00:00,2002-05-22 22:00:00,30,49,38,51,41.43333333333333,2001,2002
562,ITA,0,163,53,39.0,20,2001-08-21 22:00:00,2001-08-21 22:00:00,1,49,49,49,49.0,2001,2001
565,USA,0,178,68,45.0,22,2000-07-02 22:00:00,2014-12-01 23:00:00,28,62,53,66,56.25,2000,2014
576,CAN,0,167,58,35.0,20,2000-09-22 22:00:00,2002-03-19 23:00:00,8,51,49,59,52.0,2000,2002
583,NOR,0,183,78,45.0,22,2001-05-05 22:00:00,2017-07-03 22:00:00,98,44,54,69,55.61224489795919,2001,2017
592,AUT,0,168,53,33.0,22,2001-07-01 22:00:00,2002-04-06 22:00:00,11,62,64,64,58.27272727272727,2001,2002
594,CAN,0,172,73,35.0,19,2001-02-24 23:00:00,2004-10-10 22:00:00,22,68,70,70,64.9090909090909,2001,2004
602,ZAF,0,180,73,42.0,17,2002-03-30 23:00:00,2004-06-19 22:00:00,73,36,31,49,36.397260273972606,2002,2004
604,SWE,0,188,83,43.0,19,2001-04-16 22:00:00,2002-05-14 22:00:00,54,49,51,53,40.666666666666664,2001,2002
622,ZAF,0,178,68,36.0,17,2001-02-02 23:00:00,2004-08-09 22:00:00,21,44,46,57,50.42857142857143,2001,2004
623,FRA,0,173,68,45.0,29,2000-05-21 22:00:00,2011-03-28 22:00:00,50,53,53,62,52.04,2000,2011
626,SWE,0,179,78,36.0,22,2002-07-12 22:00:00,2002-07-20 22:00:00,7,49,42,51,44.57142857142857,2002,2002
633,DEU,0,183,68,39.0,17,2005-03-12 23:00:00,2017-08-21 22:00:00,187,40,46,55,41.05347593582888,2005,2017
639,SWE,0,186,73,48.0,28,2002-08-14 22:00:00,2004-08-21 22:00:00,3,40,40,51,43.666666666666664,2002,2004
642,SWE,0,176,63,40.0,23,1999-12-27 23:00:00,2010-06-13 22:00:00,83,64,61,68,62.53012048192771,1999,2010
644,SWE,0,175,73,45.0,18,2001-08-01 22:00:00,2001-08-01 22:00:00,1,40,40,40,40.0,2001,2001
647,SWE,0,187,83,39.0,18,2001-05-06 22:00:00,2001-08-24 22:00:00,19,46,38,53,44.94736842105263,2001,2001
649,BEL,0,181,73,40.0,25,2000-09-16 22:00:00,2000-09-16 22:00:00,1,46,46,46,46.0,2000,2000
654,CAN,0,171,63,50.0,29,2001-05-05 22:00:00,2016-05-01 22:00:00,251,59,49,68,57.05179282868526,2001,2016
659,other,0,182,73,44.0,20,2001-04-04 22:00:00,2017-07-02 22:00:00,207,55,53,64,53.57971014492754,2001,2017
660,SWE,0,178,68,46.0,17,2001-01-05 23:00:00,2003-12-21 23:00:00,36,57,51,62,53.5,2001,2003
662,USA,0,177,73,41.0,18,2002-10-18 22:00:00,2002-10-18 22:00:00,1,51,51,51,51.0,2002,2002
667,USA,0,168,53,31.0,19,2001-05-05 22:00:00,2002-04-10 22:00:00,12,42,51,51,36.666666666666664,2001,2002
669,NLD,0,186,73,44.0,23,2001-08-18 22:00:00,2004-06-01 22:00:00,15,40,42,49,35.0,2001,2004
673,SWE,0,170,63,39.0,25,2001-05-12 22:00:00,2009-06-26 22:00:00,23,44,33,51,40.04347826086956,2001,2009
676,USA,0,182,83,34.0,20,2001-11-10 23:00:00,2015-10-04 22:00:00,33,44,44,64,51.81818181818182,2001,2015
678,SWE,0,186,83,53.0,27,2001-05-20 22:00:00,2013-04-02 22:00:00,26,55,44,55,40.61538461538461,2001,2013
679,SWE,0,173,63,37.0,21,2000-12-07 23:00:00,2008-01-09 23:00:00,109,53,55,62,52.37614678899082,2000,2008
685,USA,0,160,68,41.0,23,2007-06-05 22:00:00,2007-06-04 22:00:00,5,44,46,46,45.2,2007,2007
699,SWE,0,186,73,46.0,19,2006-06-04 22:00:00,2013-11-13 23:00:00,178,59,56,66,55.30337078651685,2006,2013
707,ZAF,0,170,58,36.0,17,2001-04-11 22:00:00,2008-01-19 23:00:00,36,42,38,53,39.083333333333336,2001,2008
710,ITA,0,162,53,44.0,23,2002-09-30 22:00:00,2017-03-28 22:00:00,139,62,64,64,57.17985611510792,2002,2017
711,SWE,0,167,63,43.0,17,2001-06-08 22:00:00,2001-06-08 22:00:00,2,33,31,33,32.0,2001,2001
714,ITA,0,173,63,41.0,17,1998-07-20 22:00:00,2005-12-11 23:00:00,60,49,55,62,51.483333333333334,1998,2005
720,SWE,0,174,73,45.0,21,1999-04-30 22:00:00,2003-05-26 22:00:00,16,53,40,55,49.625,1999,2003
722,ZAF,0,186,73,37.0,20,2001-04-12 22:00:00,2010-02-12 23:00:00,53,57,49,66,51.15094339622642,2001,2010
727,CAN,0,175,68,51.0,25,2000-09-16 22:00:00,2000-11-03 23:00:00,4,51,55,55,53.0,2000,2000
747,NOR,0,184,78,44.0,24,2001-03-16 23:00:00,2017-08-10 22:00:00,228,55,44,66,53.28947368421053,2001,2017
757,SWE,0,180,68,42.0,20,1999-06-24 22:00:00,2013-12-30 23:00:00,364,53,59,64,50.5521978021978,1999,2013
764,ITA,0,173,58,46.0,29,2001-03-14 23:00:00,2007-10-20 22:00:00,12,59,63,66,62.416666666666664,2001,2007
766,GBR,0,180,73,42.0,27,2001-08-31 22:00:00,2002-01-23 23:00:00,9,42,44,49,46.22222222222222,2001,2002
775,SWE,0,189,78,40.0,23,2001-12-05 23:00:00,2002-06-17 22:00:00,6,62,59,62,59.0,2001,2002
784,DEU,0,176,68,44.0,28,2001-04-16 22:00:00,2003-12-31 23:00:00,22,62,64,64,59.5,2001,2004
785,MEX,0,176,88,46.0,22,2000-11-30 23:00:00,2001-06-15 22:00:00,2,46,49,49,47.5,2000,2001
786,AUT,0,173,73,41.0,19,2006-08-31 22:00:00,2015-08-25 22:00:00,41,49,57,62,51.24390243902439,2006,2015
787,MEX,0,186,73,46.0,21,2001-03-20 23:00:00,2004-04-07 22:00:00,27,59,44,59,46.851851851851855,2001,2004
803,USA,0,165,63,43.0,22,2000-09-19 22:00:00,2011-07-09 22:00:00,255,59,49,66,54.101960784313725,2000,2011
808,other,0,172,63,64.0,17,2002-02-10 23:00:00,2003-07-25 22:00:00,16,33,38,44,39.375,2002,2003
811,DEU,0,173,63,44.0,27,1999-11-05 23:00:00,2003-08-22 22:00:00,49,59,55,62,53.38775510204081,1999,2003
812,CAN,0,175,68,43.0,26,2001-05-25 22:00:00,2005-09-23 22:00:00,35,29,51,59,43.457142857142856,2001,2005
815,ITA,0,192,83,15.0,23,2002-05-24 22:00:00,2002-09-20 22:00:00,17,46,49,55,49.529411764705884,2002,2002
816,FRA,0,178,68,38.0,27,2001-04-07 22:00:00,2005-02-13 23:00:00,35,66,62,70,64.57142857142857,2001,2005
821,ESP,0,170,68,37.0,21,2000-08-21 22:00:00,2013-12-12 23:00:00,214,51,62,68,57.046728971962615,2000,2013
823,USA,0,178,73,35.0,20,2000-09-08 22:00:00,2002-08-28 22:00:00,3,62,57,62,58.666666666666664,2000,2002
830,GBR,0,178,63,40.0,23,2000-12-17 23:00:00,2017-01-01 23:00:00,371,53,53,68,54.01078167115903,2000,2017
841,BEL,0,175,73,35.0,27,2001-07-16 22:00:00,2014-08-02 22:00:00,175,57,53,66,55.42857142857143,2001,2014
848,NLD,0,186,78,45.0,23,2001-05-18 22:00:00,2017-08-26 22:00:00,571,55,40,64,45.36252189141857,2001,2017
851,other,0,175,63,44.0,26,2000-12-26 23:00:00,2017-04-13 22:00:00,269,57,51,70,59.66914498141264,2000,2017
853,BRA,0,184,63,42.0,22,2000-07-24 22:00:00,2006-07-08 22:00:00,13,53,49,53,41.38461538461539,2000,2006
863,CHE,0,175,68,35.0,20,2001-06-22 22:00:00,2011-07-30 22:00:00,126,53,61,66,56.43650793650794,2001,2011
865,other,0,176,63,40.0,17,2001-09-21 22:00:00,2005-03-25 23:00:00,4,36,40,40,37.5,2001,2005
886,SWE,1,156,48,44.0,17,2001-07-07 22:00:00,2008-06-25 22:00:00,93,44,49,53,43.45161290322581,2001,2008
895,SWE,0,182,78,44.0,22,2001-06-14 22:00:00,2002-12-31 23:00:00,14,44,51,53,47.857142857142854,2001,2003
899,USA,0,185,78,47.0,28,1998-07-12 22:00:00,2001-10-11 22:00:00,3,51,51,51,51.0,1998,2001
902,AUT,0,166,63,37.0,21,2001-06-29 22:00:00,2016-11-06 23:00:00,136,57,62,66,58.154411764705884,2001,2016
925,USA,0,178,63,35.0,16,2001-05-14 22:00:00,2001-12-18 23:00:00,7,29,33,42,34.57142857142857,2001,2001
927,other,0,181,73,37.0,16,2001-03-24 23:00:00,2013-04-28 22:00:00,459,36,62,66,45.66448801742919,2001,2013
938,SWE,0,190,68,48.0,20,2000-12-17 23:00:00,2009-07-16 22:00:00,199,53,31,59,44.678391959798994,2000,2009
944,CHE,0,167,78,46.0,29,1991-05-31 22:00:00,2017-05-15 22:00:00,101,51,51,62,53.21782178217822,1991,2017
951,other,0,182,83,35.0,19,2000-08-19 22:00:00,2009-08-18 22:00:00,46,55,38,59,48.608695652173914,2000,2009
959,SWE,0,188,73,39.0,24,2001-07-05 22:00:00,2001-10-26 22:00:00,18,53,46,53,47.888888888888886,2001,2001
963,SVN,0,172,73,37.0,17,2001-09-18 22:00:00,2012-05-11 22:00:00,12,55,51,55,51.333333333333336,2001,2012
967,ZAF,0,193,73,40.0,22,2000-06-04 22:00:00,2007-01-05 23:00:00,16,49,33,49,41.4375,2000,2007
973,ZAF,0,185,73,37.0,17,2001-05-31 22:00:00,2010-06-25 22:00:00,267,40,44,57,44.352059925093634,2001,2010
977,ZAF,0,190,83,39.0,17,2000-11-22 23:00:00,2001-08-11 22:00:00,20,31,42,42,33.15,2000,2001
978,ZAF,0,180,73,36.0,19,2001-08-09 22:00:00,2009-05-16 22:00:00,123,46,42,55,40.764227642276424,2001,2009
980,DEU,0,170,68,44.0,24,2001-06-30 22:00:00,2006-08-19 22:00:00,36,55,55,62,53.5,2001,2006
987,other,0,170,58,40.0,19,2000-04-17 22:00:00,2001-07-17 22:00:00,9,46,42,53,41.55555555555556,2000,2001
1000,HRV,0,174,58,30.0,16,2001-07-10 22:00:00,2008-10-04 22:00:00,135,29,49,55,38.98518518518519,2001,2008
1001,SWE,1,167,58,35.0,19,2001-07-04 22:00:00,2002-08-17 22:00:00,16,42,42,49,43.4375,2001,2002
1003,DEU,0,171,63,43.0,17,2002-05-31 22:00:00,2002-07-31 22:00:00,2,55,44,55,49.5,2002,2002
1004,NLD,0,183,68,40.0,27,1995-08-05 22:00:00,2017-08-24 22:00:00,324,62,62,68,56.9320987654321,1995,2017
1013,other,0,181,63,36.0,22,2000-12-05 23:00:00,2001-05-17 22:00:00,16,62,62,66,62.5,2000,2001
1016,ZAF,0,171,68,33.0,18,2001-06-23 22:00:00,2011-12-02 23:00:00,70,53,64,66,54.0,2001,2011
1024,SWE,0,178,68,47.0,26,2002-01-02 23:00:00,2009-04-17 22:00:00,76,31,31,49,35.0921052631579,2002,2009
1034,USA,0,168,58,34.0,23,2002-06-30 22:00:00,2006-09-29 22:00:00,54,59,64,70,63.46296296296296,2002,2006
1039,GBR,0,175,58,33.0,16,2001-07-31 22:00:00,2001-07-29 22:00:00,6,36,36,38,35.666666666666664,2001,2001
1045,other,0,171,58,44.0,19,1999-06-30 22:00:00,2007-01-06 23:00:00,11,38,49,53,44.45454545454545,1999,2007
1051,ESP,0,159,48,36.0,21,2001-07-31 22:00:00,2017-08-19 22:00:00,614,70,62,77,66.23778501628665,2001,2017
1053,SWE,0,179,88,47.0,23,2008-07-25 22:00:00,2008-07-25 22:00:00,2,44,46,46,45.0,2008,2008
1054,ITA,0,176,63,37.0,17,2000-09-01 22:00:00,2001-11-16 23:00:00,4,62,59,62,57.25,2000,2001
1058,ZAF,0,180,78,39.0,16,2001-08-09 22:00:00,2003-01-31 23:00:00,10,33,31,38,32.5,2001,2003
1066,SWE,0,175,63,40.0,23,2002-05-19 22:00:00,2012-08-08 22:00:00,88,53,51,62,50.18181818181818,2002,2012
1067,SWE,0,169,63,37.0,17,2003-05-24 22:00:00,2011-04-28 22:00:00,89,36,46,55,42.98876404494382,2003,2011
1082,NLD,0,186,73,33.0,21,2001-07-14 22:00:00,2017-04-30 22:00:00,257,62,62,68,59.27626459143969,2001,2017
1095,POL,0,174,78,47.0,27,1997-07-12 22:00:00,2014-08-30 22:00:00,163,59,40,62,43.87116564417178,1997,2014
1096,POL,0,185,68,33.0,17,2001-07-17 22:00:00,2006-08-03 22:00:00,88,40,52,61,49.06818181818182,2001,2006
1099,BEL,0,169,63,52.0,26,2001-07-19 22:00:00,2004-08-31 22:00:00,77,55,49,62,51.58441558441559,2001,2004
1100,SWE,1,168,63,42.0,19,2001-05-15 22:00:00,2003-07-10 22:00:00,9,40,36,40,37.111111111111114,2001,2003
1112,DNK,0,186,73,40.0,19,2001-07-23 22:00:00,2017-02-21 23:00:00,333,49,64,64,52.96096096096096,2001,2017
1117,HRV,1,160,53,41.0,17,2001-08-21 22:00:00,2005-10-10 22:00:00,47,38,46,46,36.297872340425535,2001,2005
1118,AUT,0,179,63,44.0,26,2001-07-20 22:00:00,2014-03-28 23:00:00,127,57,49,62,52.20472440944882,2001,2014
1134,other,0,178,73,41.0,25,2001-02-14 23:00:00,2002-12-08 23:00:00,34,55,55,57,48.64705882352941,2001,2002
1146,USA,0,175,68,53.0,18,2002-06-10 22:00:00,2008-08-22 22:00:00,25,36,49,56,46.76,2002,2008
1160,FRA,0,175,63,42.0,4,2003-01-03 23:00:00,2003-01-25 23:00:00,2,66,62,66,64.0,2003,2003
1166,other,0,183,78,42.0,22,2000-12-31 23:00:00,2009-10-25 23:00:00,12,57,59,62,58.333333333333336,2001,2009
1185,FRA,0,170,63,39.0,24,2001-08-10 22:00:00,2000-07-25 22:00:00,160,62,59,68,58.9,2001,2000
1193,GBR,0,178,73,39.0,23,2001-06-30 22:00:00,2001-06-30 22:00:00,1,57,57,57,57.0,2001,2001
1197,ESP,0,180,58,36.0,17,2000-12-31 23:00:00,2002-03-10 23:00:00,4,49,46,49,45.5,2001,2002
1210,FRA,0,164,48,38.0,20,2003-02-19 23:00:00,2002-10-31 23:00:00,2,66,64,66,65.0,2003,2002
1225,POL,0,169,78,48.0,24,2001-09-12 22:00:00,2015-05-12 22:00:00,434,55,44,59,45.33179723502304,2001,2015
1229,SWE,0,195,83,46.0,17,2000-06-30 22:00:00,2004-03-31 22:00:00,14,40,49,53,43.214285714285715,2000,2004
1230,POL,1,170,53,39.0,24,2000-10-04 22:00:00,2016-04-15 22:00:00,508,51,53,62,49.83464566929134,2000,2016
1233,FRA,0,180,78,38.0,25,2001-04-30 22:00:00,2003-04-30 22:00:00,10,51,55,57,50.1,2001,2003
1243,NLD,0,180,83,39.0,24,2000-12-24 23:00:00,2012-08-11 22:00:00,89,59,49,64,52.70786516853933,2000,2012
